keyword,Frequency,Cluster,embedding,kmeans_cluster,theme
optimization,284,2,"[-1.03515625e-01 -1.58203125e-01 -9.81445312e-02  7.01904297e-03
 -4.63867188e-02  1.85546875e-01  8.10546875e-02 -1.97265625e-01
  6.98242188e-02  1.39648438e-01  8.30078125e-02  1.20849609e-02
 -8.64257812e-02  1.85546875e-01 -1.00097656e-01 -1.27929688e-01
  1.49414062e-01 -1.11083984e-02 -1.34765625e-01  2.83203125e-01
 -3.45703125e-01  1.49414062e-01 -3.73046875e-01  4.06250000e-01
 -5.17578125e-02  1.16699219e-01 -1.71875000e-01 -9.13085938e-02
 -1.74560547e-02 -3.32031250e-01 -7.03125000e-02 -6.25000000e-02
 -1.31835938e-01  2.46582031e-02 -1.12792969e-01  5.10253906e-02
  2.47802734e-02 -1.59179688e-01  4.76562500e-01 -4.80957031e-02
 -1.16699219e-01  1.08398438e-01  3.35937500e-01  1.02539062e-01
 -1.97265625e-01 -2.03125000e-01 -2.71484375e-01 -2.49023438e-02
  1.50390625e-01  9.13085938e-02 -2.21679688e-01  1.01074219e-01
 -9.08203125e-02 -6.59179688e-02 -2.53906250e-01 -1.68945312e-01
 -2.15820312e-01 -2.02148438e-01  4.57031250e-01  5.88378906e-02
  3.95507812e-02 -4.44335938e-02 -3.43750000e-01 -1.10839844e-01
 -8.34960938e-02  1.79687500e-01  1.57226562e-01  1.82617188e-01
  7.71484375e-02 -1.26953125e-01 -4.33921814e-05  4.22363281e-02
  2.59765625e-01  2.35351562e-01 -2.64892578e-02 -2.91015625e-01
  3.32031250e-01  5.22460938e-02 -6.39648438e-02  1.91650391e-02
  2.33154297e-02  3.67187500e-01  1.39648438e-01 -6.49414062e-02
  5.35156250e-01 -2.96875000e-01  1.00097656e-02  3.26171875e-01
 -7.56835938e-02 -2.00195312e-02  3.65234375e-01 -3.08593750e-01
 -3.20312500e-01  3.32031250e-01 -3.82812500e-01 -2.46093750e-01
 -3.78906250e-01 -3.49609375e-01  5.82885742e-03  1.50390625e-01
  1.57226562e-01 -1.07910156e-01 -5.49316406e-02 -1.05957031e-01
 -1.88476562e-01  3.56445312e-02 -3.57421875e-01  3.90625000e-01
 -1.00585938e-01 -2.69531250e-01  1.67236328e-02 -4.41894531e-02
 -2.65625000e-01  3.28125000e-01  8.05664062e-02  6.07299805e-03
 -1.32812500e-01 -6.34765625e-02  3.94531250e-01 -9.81445312e-02
  2.50244141e-02 -6.68945312e-02 -3.92578125e-01  9.17968750e-02
  8.15429688e-02  1.89453125e-01 -8.20312500e-02  4.33593750e-01
  8.88671875e-02  7.12890625e-02 -1.49414062e-01  2.29492188e-01
  5.02929688e-02  9.03320312e-02 -2.18750000e-01 -6.93359375e-02
  3.16406250e-01  3.04687500e-01  1.96533203e-02  3.20312500e-01
  2.67578125e-01 -2.79296875e-01 -2.94921875e-01  3.39843750e-01
  6.25610352e-03 -1.24511719e-01 -7.72094727e-03 -7.42187500e-02
 -6.39648438e-02 -4.55078125e-01  7.27539062e-02 -1.48437500e-01
 -6.65283203e-03  7.91015625e-02  2.99072266e-02 -2.01171875e-01
  3.71093750e-01  3.49609375e-01  4.54101562e-02 -1.88476562e-01
 -1.98242188e-01  2.08740234e-02 -1.75781250e-01  1.89453125e-01
  6.78710938e-02  1.26953125e-01 -3.56445312e-02 -6.68945312e-02
 -9.08203125e-02 -1.48437500e-01 -2.80761719e-03 -1.13281250e-01
 -3.49426270e-03  1.03027344e-01  8.83789062e-02  1.23535156e-01
  1.21093750e-01 -2.67578125e-01 -1.29882812e-01 -1.05468750e-01
 -1.77734375e-01  9.47265625e-02  8.00781250e-02  1.50390625e-01
  2.72216797e-02  3.57055664e-03 -5.17578125e-02  2.29492188e-01
  2.15820312e-01  4.34570312e-02 -3.67187500e-01 -6.98242188e-02
  1.70898438e-02  4.58984375e-02 -1.65039062e-01 -5.88378906e-02
  2.07031250e-01 -4.10156250e-01 -2.24609375e-02 -3.22265625e-01
  1.18652344e-01  2.53906250e-02 -2.35351562e-01 -1.01074219e-01
 -8.69140625e-02  7.95898438e-02 -2.05039978e-04 -1.04003906e-01
  1.66015625e-01 -4.71191406e-02  7.03125000e-02 -4.07714844e-02
 -2.22656250e-01  1.57226562e-01 -3.41796875e-02 -1.40625000e-01
  3.76953125e-01  5.56640625e-02  4.27246094e-02 -6.29882812e-02
 -1.79687500e-01 -1.35742188e-01  2.06054688e-01 -2.47070312e-01
 -1.40991211e-02 -2.01416016e-02  2.29492188e-02 -3.02734375e-01
  1.44531250e-01 -2.62451172e-02  7.51953125e-02 -6.49414062e-02
 -3.18359375e-01  2.41699219e-02 -5.15625000e-01  1.94091797e-02
 -1.58203125e-01 -2.49023438e-02  2.56347656e-02  3.90625000e-02
  5.61523438e-02 -6.98242188e-02 -3.10546875e-01 -3.32031250e-01
 -1.64794922e-02 -4.06250000e-01 -4.35546875e-01  5.39062500e-01
 -3.14453125e-01 -4.37500000e-01  7.17773438e-02 -1.09375000e-01
 -1.27929688e-01  5.39550781e-02 -3.02734375e-02 -1.75781250e-01
 -9.52148438e-02 -2.73437500e-01 -1.98242188e-01 -1.96289062e-01
  4.64843750e-01 -2.08984375e-01 -1.18408203e-02 -1.62353516e-02
  1.71661377e-03 -1.38671875e-01  1.88476562e-01 -2.37304688e-01
 -2.77343750e-01 -3.56445312e-02  1.60217285e-03  1.00097656e-01
 -3.51562500e-01 -1.89453125e-01  8.44726562e-02  2.30468750e-01
  1.25976562e-01  1.95312500e-01 -5.63964844e-02  6.44531250e-02
 -2.65625000e-01  9.03320312e-02  9.22851562e-02 -8.25195312e-02
  7.99560547e-03  4.66308594e-02  1.81884766e-02  1.15234375e-01
  6.29882812e-02 -1.26342773e-02  4.56542969e-02  1.55273438e-01
 -1.81640625e-01  2.47070312e-01  2.81250000e-01 -5.24902344e-02
  1.02050781e-01 -1.17675781e-01  8.00781250e-02  1.73828125e-01]",1,optimization
artificial neural network,262,160,"[ 0.01049805  0.037028    0.01708984  0.13411458 -0.11572266  0.09448242
  0.12239584 -0.04875183  0.05094401  0.20589192 -0.09741211  0.06686401
  0.00236003 -0.1484375  -0.14089966  0.0987142  -0.19140625  0.2553711
  0.10361671 -0.07820638  0.0851237   0.05128988 -0.18359375  0.1516927
  0.18066406 -0.17659505 -0.14095052  0.10750326 -0.09495036 -0.1408081
  0.01904297 -0.17464192 -0.02856445 -0.03216553 -0.04252116 -0.34765625
  0.06347656 -0.125       0.23404948  0.00472005  0.07177734  0.11157227
  0.15234375  0.01920573  0.05436198 -0.17529297  0.1171875  -0.03068034
 -0.04941813  0.08548991 -0.23697917  0.00174967 -0.25048828 -0.05664062
  0.10213693 -0.11702474 -0.10799154 -0.23925781  0.04060872 -0.02604167
 -0.10693359  0.01953177 -0.02473958 -0.00962321 -0.11857096  0.01855469
 -0.04370117  0.14137776  0.07657877 -0.02490234  0.07926432 -0.06896973
  0.11832682 -0.22851562  0.06510416 -0.27441406  0.27604166 -0.18115234
  0.04264323 -0.09082031 -0.08502197  0.06945801  0.13871257 -0.02783203
 -0.03629557 -0.19401042 -0.09224447  0.2680664  -0.10078939  0.21500652
  0.03759766  0.08683268 -0.22819011 -0.04581706 -0.02490234  0.02140299
  0.07161459 -0.2569987  -0.00325521  0.02119954  0.35872397  0.01224772
  0.03629557 -0.10742188  0.03629557  0.12524414 -0.03873698 -0.02001953
  0.08121745 -0.08622233 -0.17260742 -0.11889648  0.01432292 -0.08072916
  0.18912761  0.02099609 -0.1829427  -0.0945638   0.01529948 -0.09309896
 -0.02119954 -0.11735026 -0.04736328  0.00651042  0.03645833  0.0466512
  0.08154297  0.33317056 -0.00716146  0.24772136  0.01867676  0.01595052
 -0.16048177 -0.07397461 -0.02986654 -0.07698568  0.10351562  0.1608073
 -0.04248047  0.01367188  0.05289714 -0.12166341 -0.14078777  0.26171875
  0.00585938  0.15079753 -0.03743489 -0.02994792 -0.22037761 -0.05493164
 -0.04366048  0.00046794 -0.12849934  0.00223796  0.13802083 -0.13118489
 -0.15639241 -0.07225545  0.12668864  0.03214518 -0.03487142 -0.05141195
 -0.08374023 -0.01855469 -0.0020752   0.10807291  0.0752767  -0.22379558
  0.05598958  0.0226237  -0.06298828 -0.03015137 -0.1570638  -0.12369791
  0.07535807  0.11686198 -0.02378337 -0.07633463  0.10872396 -0.01489258
 -0.04524739 -0.05183919 -0.00488281 -0.15010579  0.06880697  0.11140951
 -0.26090494 -0.16023763  0.07666016  0.0250651  -0.1255366  -0.19799805
  0.0173467  -0.00292969 -0.04003906  0.00076294 -0.05277507 -0.22631836
 -0.04980469 -0.13541667  0.08235677  0.07861328 -0.03922526  0.23463948
  0.01994832 -0.07942709  0.06164551 -0.0069987   0.05533854 -0.04117839
 -0.24186198 -0.10294596 -0.18033855  0.10294596  0.22167969 -0.09195963
 -0.00528971 -0.08227539 -0.07307943  0.01367188  0.08349609 -0.16064453
  0.02872721 -0.07389323 -0.1373698  -0.08138021 -0.01641846  0.03649902
 -0.05147298  0.1077474   0.12369791  0.06184896  0.03788249 -0.11254883
 -0.03985596 -0.08203125 -0.01806641 -0.10893758  0.02040609  0.00499471
  0.20166016 -0.18166097 -0.18784587 -0.10182699  0.09018961  0.11295573
 -0.00333659  0.3466797  -0.08764648 -0.11165365  0.04524739 -0.22298177
 -0.07454427  0.18717448  0.08392334 -0.31591797  0.01375325  0.06254069
 -0.14379883 -0.00553385 -0.08809408 -0.04557292  0.01074219  0.14851888
  0.04353841  0.11612955 -0.11946615 -0.39876303 -0.03560384 -0.01690674
 -0.16210938  0.0226237   0.21386719 -0.05928548  0.11149088 -0.12206014
 -0.18847656  0.03251139  0.25089517  0.15974934 -0.04125977  0.15218098
  0.03235881 -0.06745911  0.08719889 -0.11726888  0.04492188 -0.07334391
  0.24316406  0.03011068 -0.19596355  0.01944987 -0.07763672 -0.08348083
 -0.16813152  0.09830729 -0.04846191 -0.07366943 -0.11295573 -0.068868  ]",1,optimization
machine learning,182,10,"[ 0.08374023  0.06317139 -0.01696777  0.08605957  0.01782227  0.19848633
 -0.00427246  0.09423828  0.00537109  0.02038574  0.04931641 -0.07373047
 -0.06951904 -0.14233398  0.11828613  0.06567383 -0.17382812  0.18652344
  0.18798828 -0.17333984 -0.01989746  0.14160156 -0.08337784  0.25634766
  0.05895996 -0.1430664  -0.07263184  0.00439453  0.0090332  -0.10742188
  0.00463867 -0.13867188 -0.08569336  0.16589355 -0.11535645 -0.12280273
 -0.04995728  0.05761719  0.14794922 -0.09997559  0.17822266 -0.01989746
  0.06182861 -0.00231934  0.10742188 -0.12060547  0.01318359  0.2084961
 -0.046875    0.11743164 -0.03970337  0.02587891 -0.0279541  -0.16339111
  0.01757812  0.24023438  0.15148926 -0.16113281  0.015625   -0.16357422
 -0.00604248  0.01898193 -0.00927734 -0.19897461  0.02459717 -0.02563477
 -0.19580078 -0.06713867 -0.01831055 -0.00402832 -0.00488281  0.00537109
  0.03686523 -0.00244141 -0.04730225 -0.03259277  0.1665039  -0.0480957
  0.07724762 -0.03515625  0.1237793   0.05529785  0.08996582  0.02368164
  0.11010742 -0.09584808 -0.08764648  0.27294922  0.18334961  0.08911133
 -0.02612305  0.11633301 -0.06912994 -0.11499023 -0.07867432  0.03485107
  0.16015625 -0.11767578  0.18164062 -0.02307129  0.03100586 -0.20214844
 -0.03713989  0.05383301 -0.04925537  0.04934692  0.03442383 -0.0645752
  0.19189453 -0.22021484 -0.10961914  0.08105469 -0.11108398 -0.10913086
  0.027771    0.081604    0.00634766 -0.01358032  0.05187988 -0.09387207
 -0.15063477  0.03088379  0.02311707  0.05334473 -0.12817383 -0.00805664
 -0.06083679  0.05262756 -0.03271484  0.24511719  0.15942383 -0.10232544
 -0.25341797 -0.04150391  0.07275391 -0.04740906  0.12915039 -0.04180908
 -0.13427734  0.07324219 -0.02783203 -0.11352539 -0.05957031  0.01220703
  0.01379395 -0.10498047  0.11083984 -0.05786133  0.05444336 -0.02441406
  0.12792969  0.00109863 -0.13110352  0.11035156 -0.02629089  0.13769531
 -0.17138672 -0.02832031 -0.20507812 -0.06970215  0.05657959  0.13232422
 -0.04016113  0.03662109 -0.09606934 -0.1862793   0.2319336  -0.09242249
  0.0715332  -0.01284027 -0.12426758 -0.02798462 -0.09301758 -0.04003906
 -0.04296875  0.08243561  0.06440735 -0.109375    0.01733398  0.08642578
  0.01159668 -0.05712891  0.296875   -0.08569336  0.06820679  0.12475586
 -0.07885742  0.00854492  0.00048828 -0.06445312  0.0065918   0.04492188
 -0.01034546  0.17211914  0.08502197 -0.109375    0.02905273 -0.14221191
 -0.11340332 -0.22998047 -0.03100586 -0.00878906  0.00585938 -0.01171875
 -0.02294922 -0.09814453 -0.01879883  0.00415039 -0.02578735 -0.25048828
  0.08752441  0.10131836 -0.12145996 -0.01513672  0.11328125 -0.0970459
  0.03979492  0.07275391 -0.23535156 -0.02294922  0.05133057 -0.06091309
  0.07067871  0.01879883 -0.06311035 -0.00189209 -0.06262207  0.01123047
 -0.02561951 -0.20654297  0.07214355 -0.06018066  0.02392578 -0.09832764
 -0.02246094 -0.05322266 -0.12792969  0.04394531  0.03521729  0.05945587
  0.05993652 -0.12915039 -0.15224075 -0.12988281 -0.02978516 -0.12268066
 -0.01902771  0.12890625  0.03125    -0.14144135 -0.06408691  0.06517029
  0.0512085   0.0546875  -0.05432129 -0.25097656 -0.03735352  0.02737427
 -0.1459961  -0.13793945  0.08074951  0.0357666  -0.09179688  0.01721191
 -0.13208008  0.03588104  0.19152832  0.02880859 -0.24609375  0.21435547
  0.07250977 -0.04150391  0.02423096 -0.07568359 -0.11865234 -0.07019043
 -0.02862549 -0.09655762 -0.18603516  0.01220703  0.00964355  0.02197266
  0.10113525 -0.03723145 -0.0748291  -0.23876953  0.0065918   0.03320312
  0.13671875  0.24365234 -0.2578125  -0.02746582 -0.24365234 -0.1484375
 -0.07623291 -0.17565918  0.15478516  0.03283691 -0.11181641  0.04711914]",2,machine learning
topology optimization,96,125,"[ 4.15039062e-02 -2.63671875e-01 -9.79003906e-02 -2.89611816e-02
 -8.61816406e-02  1.38671875e-01 -6.83593750e-03 -1.71875000e-01
  1.09619141e-01  1.60644531e-01  2.20214844e-01  1.02233887e-02
 -1.06201172e-01  1.30126953e-01 -6.12182617e-02  3.02734375e-02
 -1.48925781e-01  2.56958008e-02 -1.23046875e-01  1.33422852e-01
 -2.38769531e-01  1.30126953e-01 -3.51562500e-01  5.21484375e-01
  2.36816406e-02 -1.23291016e-01 -1.56738281e-01  4.90722656e-02
  7.86743164e-02 -3.61328125e-01  7.03125000e-02 -7.08007812e-02
 -9.16748047e-02 -5.11474609e-02 -5.18493652e-02 -4.28466797e-02
  2.04772949e-01 -2.65136719e-01  3.07128906e-01  1.18408203e-02
 -7.36083984e-02  2.33154297e-02  3.50585938e-01  3.77197266e-02
 -5.63964844e-02 -2.17773438e-01 -9.42382812e-02 -1.84326172e-01
  8.21533203e-02  5.21850586e-02 -3.03222656e-01 -9.49707031e-02
 -1.32812500e-01 -1.80419922e-01 -3.17382812e-02 -3.51562500e-02
 -1.18591309e-01 -1.92382812e-01  2.61230469e-01  8.94775391e-02
  4.04052734e-02  5.24902344e-02 -1.20361328e-01 -1.17919922e-01
 -7.06787109e-02  1.39892578e-01  6.33544922e-02  3.66699219e-01
  2.93579102e-02 -1.16210938e-01  2.04861164e-02 -2.67333984e-02
  2.30957031e-01 -1.67480469e-01 -6.40258789e-02 -3.31054688e-01
  4.10156250e-01 -9.30175781e-02  2.37548828e-01 -1.64245605e-01
  7.46459961e-02  3.36914062e-01  5.10253906e-02 -1.45263672e-01
  4.58984375e-01 -1.41693115e-01 -5.62744141e-02  3.07617188e-01
 -2.00927734e-01  1.12304688e-02  2.14599609e-01 -3.98437500e-01
 -4.47265625e-01  3.72070312e-01 -2.70996094e-01 -1.65039062e-01
 -2.99316406e-01 -4.24804688e-01  1.02035522e-01  5.70068359e-02
  1.85058594e-01 -1.20361328e-01 -2.47650146e-02 -1.78955078e-01
 -1.94824219e-01  2.66845703e-01 -3.33007812e-01  2.83203125e-01
 -2.28027344e-01 -2.73437500e-01  5.23376465e-03 -2.26196289e-01
 -6.54296875e-02  2.22900391e-01  1.62841797e-01  1.29989624e-01
 -1.27441406e-01 -7.59277344e-02  3.72070312e-01 -1.88720703e-01
 -9.76562500e-04 -1.02783203e-01 -1.66625977e-01 -2.73437500e-02
  2.19482422e-01  2.67578125e-01 -1.68945312e-01  4.16992188e-01
 -6.39648438e-02 -3.66210938e-02 -6.46972656e-02  1.65039062e-01
  3.79028320e-02  1.93603516e-01 -6.64062500e-02 -3.88793945e-02
  2.54882812e-01  1.68457031e-01 -1.11267090e-01  3.25195312e-01
  2.99804688e-01 -2.42187500e-01 -2.11425781e-01  3.21289062e-01
 -1.39450073e-01 -1.90429688e-02 -8.93096924e-02 -1.09863281e-01
 -1.78466797e-01 -2.16308594e-01  8.47167969e-02 -1.56738281e-01
 -1.02447510e-01 -5.37109375e-02  1.70227051e-01 -2.13867188e-01
  1.08398438e-01  3.09570312e-01  2.91137695e-02 -1.62597656e-01
 -2.41699219e-01 -1.94702148e-02 -6.12792969e-02  1.36230469e-01
 -4.85839844e-02  1.56738281e-01 -1.07177734e-01 -7.76367188e-02
 -1.13769531e-01  8.30078125e-03 -2.64282227e-02 -8.03222656e-02
 -6.86416626e-02  8.34960938e-02  1.04003906e-01  2.89306641e-01
  1.03271484e-01 -2.56835938e-01 -1.01074219e-01 -3.27148438e-02
 -2.24609375e-01  1.51855469e-01 -8.49609375e-02  1.39648438e-01
  1.60095215e-01 -1.03683472e-01  9.17968750e-02  1.22070312e-02
  2.38769531e-01 -3.39355469e-02 -1.86737061e-01 -1.89208984e-01
 -1.69189453e-01  6.59179688e-02 -1.32812500e-01 -2.56347656e-03
  8.15429688e-02 -3.52539062e-01 -2.69775391e-02 -2.23388672e-01
  1.48681641e-01  1.37695312e-01 -8.70361328e-02  4.88281250e-04
 -7.20214844e-02  1.14501953e-01 -1.16991997e-02 -2.64892578e-01
  1.70898438e-01  8.63037109e-02 -9.17968750e-02 -8.97216797e-02
 -1.88476562e-01  7.50579834e-02 -4.71191406e-02 -1.17431641e-01
  2.77832031e-01  2.74902344e-01  8.33740234e-02  7.59277344e-02
 -7.78808594e-02 -3.08105469e-01  7.81250000e-03 -8.32519531e-02
 -2.84393311e-01 -1.67541504e-02 -3.90625000e-03 -2.73925781e-01
  3.35937500e-01  1.18713379e-01  2.65502930e-02 -5.07812500e-02
 -1.32446289e-01 -9.68017578e-02 -2.00439453e-01 -8.74633789e-02
 -2.12402344e-02 -7.69042969e-02 -1.14135742e-01 -8.69140625e-02
  1.35498047e-01 -4.60205078e-02 -1.14990234e-01 -2.65625000e-01
 -8.19702148e-02 -2.18444824e-01 -2.73437500e-01  6.50390625e-01
 -2.38769531e-01 -3.63281250e-01  1.07177734e-01 -2.07519531e-02
 -1.11572266e-01  4.40673828e-02  1.80664062e-02 -3.01757812e-01
  5.61523438e-03 -4.68750000e-02 -2.96386719e-01 -8.68530273e-02
  2.77587891e-01 -2.02636719e-01 -9.67407227e-02 -9.99145508e-02
  1.43436432e-01  9.17968750e-02  1.79199219e-01 -2.79785156e-01
 -3.24218750e-01 -1.63330078e-01 -2.95944214e-02 -1.19628906e-02
 -2.87597656e-01 -6.05468750e-02  9.74121094e-02  1.92382812e-01
  3.80859375e-02  1.00387573e-01 -1.07421875e-02  3.97033691e-02
 -2.81250000e-01  1.11572266e-01  1.45751953e-01 -6.01806641e-02
  2.26654053e-01  1.35498047e-02  2.22778320e-02 -1.08398438e-01
 -9.54589844e-02 -5.88073730e-02 -1.25732422e-02  2.59277344e-01
 -1.14624023e-01  1.43920898e-01  3.95507812e-02 -1.93786621e-02
 -4.46777344e-02 -1.02539062e-01  5.92041016e-02  1.68457031e-01]",1,optimization
genetic algorithm,90,36,"[ 2.18505859e-02  9.27734375e-03  1.70806885e-01  2.23632812e-01
 -1.03271484e-01 -1.81518555e-01  4.29687500e-02 -6.34765625e-03
  2.07153320e-01 -8.05664062e-02 -5.26123047e-02 -1.68457031e-02
 -4.39453125e-03  5.72509766e-02 -2.67700195e-01  2.39746094e-01
 -1.90429688e-01  2.58544922e-01 -1.48925781e-01 -2.68554688e-01
 -1.50634766e-01  7.64160156e-02 -8.35571289e-02  1.33056641e-01
 -1.43432617e-01 -3.89648438e-01 -2.88085938e-01 -6.32324219e-02
  4.68750000e-02 -1.26220703e-01 -1.79687500e-01 -1.97265625e-01
 -2.44140625e-02  8.14208984e-02 -1.22680664e-01  9.61914062e-02
 -2.44140625e-04 -1.02539062e-01  1.82983398e-01  6.94580078e-02
  2.08007812e-01  8.93249512e-02 -1.51031494e-01  1.41113281e-01
 -5.81054688e-02 -2.22656250e-01 -1.16577148e-01 -4.98046875e-02
 -1.59057617e-01 -1.66992188e-01 -2.36328125e-01 -4.05273438e-02
 -3.21289062e-01 -2.74902344e-01 -1.62597656e-01  1.71875000e-01
 -5.88989258e-02 -4.11132812e-01  4.76074219e-02  1.17553711e-01
  2.39257812e-01 -1.33789062e-01  2.97851562e-02  1.53808594e-01
 -2.12890625e-01  9.15527344e-02  2.57324219e-01  1.26953125e-02
 -8.91113281e-02  7.16552734e-02  1.80664062e-02 -1.50512695e-01
  2.92968750e-03 -2.67578125e-01 -5.68847656e-02  4.85839844e-02
  3.01757812e-01 -1.53839111e-01  1.30004883e-01 -1.95312500e-03
  4.88281250e-04  1.07910156e-01  7.09228516e-02  1.14990234e-01
  1.53320312e-01 -7.33642578e-02  1.14013672e-01  3.24707031e-01
 -2.11914062e-01  2.44140625e-04  3.02734375e-02 -1.64550781e-01
 -2.61230469e-01  2.37792969e-01  3.14941406e-02  2.41088867e-02
  8.78906250e-03 -3.33984375e-01  7.71484375e-02 -8.97216797e-02
  3.41796875e-01  2.14843750e-02 -6.00585938e-02 -9.43603516e-02
 -5.18798828e-02 -7.32421875e-03 -3.24523926e-01  1.30859375e-01
  5.76171875e-02  9.10644531e-02 -5.39550781e-02  6.27441406e-02
  9.11865234e-02 -6.76269531e-02  4.15039062e-01  1.24145508e-01
 -2.55859375e-01 -3.60351562e-01  1.53808594e-01 -7.48291016e-02
 -9.82666016e-02 -9.83886719e-02 -2.23144531e-01 -1.14746094e-01
  1.74499512e-01  2.38769531e-01 -1.38305664e-01  3.09570312e-01
 -7.17773438e-02  3.86718750e-01  2.25097656e-01 -3.11523438e-01
 -2.14599609e-01  6.92138672e-02  1.95312500e-03 -2.00317383e-01
  2.46093750e-01  3.63281250e-01 -7.23876953e-02  2.23632812e-01
  2.71972656e-01 -1.82617188e-01 -2.71484375e-01  5.38940430e-02
 -8.86230469e-02  9.10644531e-02  1.30371094e-01  1.87500000e-01
 -2.22167969e-01 -1.24755859e-01 -6.43310547e-02 -1.47338867e-01
 -1.86889648e-01 -5.63964844e-02  9.64355469e-02 -2.85644531e-01
 -2.48291016e-01  2.23754883e-01 -3.24707031e-02  4.19921875e-02
 -2.27050781e-01 -1.57714844e-01  1.91406250e-01 -9.76562500e-04
 -4.32739258e-02 -1.05712891e-01  4.90722656e-02 -1.79443359e-01
 -3.61816406e-01  6.29882812e-02  2.82714844e-01 -2.02026367e-02
 -1.90429688e-01  1.70684814e-01  2.27172852e-01 -5.50537109e-02
  1.83105469e-01 -5.39550781e-02  1.04980469e-02  1.16943359e-01
  1.35833740e-01 -1.57836914e-01  1.39892578e-01  4.29687500e-02
  1.57653809e-01 -3.02734375e-02 -2.31933594e-01 -2.09960938e-02
 -1.89437866e-02 -1.12792969e-01 -1.92871094e-01  2.09472656e-01
  8.25195312e-02 -2.53906250e-02 -5.51757812e-02  1.01440430e-01
  5.02929688e-02 -2.83691406e-01 -1.80664062e-01 -1.90429688e-01
 -1.57226562e-01  5.36499023e-02 -1.91894531e-01  1.66748047e-01
 -1.60644531e-01 -4.58984375e-02  9.76562500e-03 -1.06323242e-01
  1.30371094e-01 -1.00097656e-02 -2.13562012e-01  1.63574219e-02
 -1.87011719e-01  1.97753906e-01  1.16821289e-01  2.30468750e-01
  1.39160156e-01  2.46826172e-01 -1.30355835e-01 -1.34277344e-02
 -2.97851562e-01  4.28466797e-02  2.38769531e-01 -3.02734375e-01
 -2.97851562e-01 -1.71150208e-01 -3.95507812e-02  1.65832520e-01
 -2.38769531e-01  3.93554688e-01  6.61926270e-02 -8.78906250e-02
  5.32836914e-02 -3.46679688e-02 -1.17675781e-01 -3.37890625e-01
 -5.79833984e-02 -9.63134766e-02  1.78710938e-01 -5.77392578e-02
  1.56494141e-01 -1.29394531e-02 -2.25097656e-01 -3.87425423e-02
  1.01074219e-01  1.67480469e-01  9.47265625e-02  3.07128906e-01
 -1.42333984e-01 -1.30615234e-01 -2.83203125e-02 -3.44726562e-01
  6.83593750e-02 -2.86132812e-01  2.20214844e-01 -3.32519531e-01
  1.45507812e-01  1.76757812e-01 -1.95068359e-01  1.95312500e-02
  1.17187500e-02 -3.28369141e-02 -1.16577148e-01 -6.82373047e-02
 -2.65625000e-01 -9.19799805e-02 -2.65136719e-01 -1.26220703e-01
 -3.01757812e-01 -1.47949219e-01 -2.10449219e-01  1.69921875e-01
 -1.96777344e-01  1.12548828e-01 -2.02636719e-02 -7.56835938e-02
  3.99169922e-02 -1.36230469e-01  4.05273438e-01  2.42187500e-01
 -1.90429688e-02  9.27734375e-02  3.69873047e-02 -1.24755859e-01
  1.59667969e-01 -1.95312500e-01  7.33032227e-02  1.40991211e-01
  8.37402344e-02  3.47900391e-02  2.60009766e-02  3.12500000e-01
 -1.68457031e-01  1.40869141e-01 -8.58154297e-02  9.66796875e-02
 -9.86328125e-02 -5.22003174e-02  1.94335938e-01  1.10107422e-01]",1,optimization
